File,True_Label,Predicted,Avg_F0,Std_F0,Avg_ZCR,Avg_Energy,Correct
G12_D04_E_61_Happy_C2.wav,Male,Child,326.31,40.54,1453.63,44.129843,False
G12_D04_E_61_Neutral_C1.wav,Male,Male,133.13,19.71,1251.96,7.596888,True
G12_D05_C_8_Happy_C2.wav,Child,Child,283.23,37.0,1542.83,6.556728,True
G12_D05_C_8_Neutral_C1.wav,Child,Child,292.78,48.51,1782.21,3.546666,True
G12_D05_C_8_Sad_C4.wav,Child,Child,284.38,49.15,2118.29,2.498826,True
G12_D06_C_9_Neutral_C1.wav,Child,Child,334.58,76.96,2853.93,0.923121,True
G12_D06_C_9_Shocked_C5.wav,Child,Child,398.06,91.17,5499.35,0.690938,True
G13_D01_M_22_Shocked_C5.wav,Male,Male,153.11,27.47,2580.65,1.391058,True
G13_D01_M_22_Neutral_C1.wav,Male,Male,143.41,44.01,1276.39,0.530577,True
G13_D01_M_22_Furious_C3.wav,Male,Male,143.89,35.77,1476.87,1.436367,True
G13_D03_F_17_Neutral_C1.wav,Woman,Woman,247.65,38.54,1266.58,1.14356,True
G13_D03_F_17_Furious_C3.wav,Woman,Child,258.52,50.56,2014.4,3.213915,False
G13_D03_F_17_Sad_C4.wav,Woman,Woman,235.77,29.22,1464.81,0.755013,True
G13_D02_M_22_Neutral_C1.wav,Male,Male,135.09,36.76,1523.24,6.055828,True
G13_D02_M_22_Sad_C4.wav,Male,Male,134.05,35.01,1905.09,7.348745,True
G13_D02_M_22_Furious_C3.wav,Male,Male,138.38,27.38,1964.95,38.14342,True
G13_D04_F_28_Furious_C3.wav,Woman,Woman,248.6,35.93,1567.81,62.602908,True
G13_D04_F_28_Neutral_C1.wav,Woman,Woman,225.89,49.24,1462.53,20.243593,True
G13_D04_F_28_Sad_C4.wav,Woman,Woman,214.42,32.19,1991.36,25.472411,True
G13_D05_C_10_Furious_C3.wav,Child,Child,392.09,58.92,1540.78,51.608175,True
G13_D05_C_10_Neutral_C1.wav,Child,Child,341.49,90.16,1759.43,30.304773,True
G13_D05_C_10_Shocked_C5.wav,Child,Child,376.93,40.23,2819.72,13.644019,True
